7.542196677443349651e-02	1.325873671513667862e+00
1.527972959139690667e-01	1.308923687449337736e+00
2.306585271960707728e-01	1.300623929437413340e+00
3.090329714835576835e-01	1.294360268678587556e+00
3.879445870072069646e-01	1.288843862617707670e+00
4.674307601491071718e-01	1.283612571428983662e+00
5.475252714569199819e-01	1.278479800827014401e+00
6.282658899084163640e-01	1.273346226255602787e+00
7.096988159463407664e-01	1.268143583979218114e+00
7.918778143452681606e-01	1.262821084117389026e+00
8.748823047639272543e-01	1.257311976719905466e+00
9.587723380416787178e-01	1.251600565000692722e+00
1.043628472268869567e+00	1.245654018209922720e+00
1.129560906376718243e+00	1.239419664841948876e+00
1.216685600279272528e+00	1.232857526756046873e+00
1.305117710082519977e+00	1.225943060644572258e+00
1.395005491822135957e+00	1.218633195328489238e+00
1.486521250292019758e+00	1.210880772573146302e+00
1.579870388910010526e+00	1.202630300141807496e+00
1.675380071428545170e+00	1.193758976907646652e+00
1.779173972446903340e+00	1.180504878038147298e+00
1.874943289412662750e+00	1.169330428535701127e+00
1.994323771712858129e+00	1.158228344712903368e+00
2.113256272648445400e+00	1.148383622171111451e+00
2.196624079272057717e+00	1.139676108880991023e+00
2.304560926461671766e+00	1.132293448539208658e+00
2.392547838746781341e+00	1.126398515067800643e+00
2.525102871268675830e+00	1.121597648534499836e+00
2.589292084822147455e+00	1.117874691059300929e+00
2.700585791228004240e+00	1.114862334568317515e+00
2.772714676320460203e+00	1.112622241248850896e+00
2.891775284738649976e+00	1.110855499894706444e+00
2.984127737093370314e+00	1.109751726820248363e+00
3.073167850959273029e+00	1.109162800529124748e+00
3.153098323145425486e+00	1.109305022586449585e+00
3.261075008490966098e+00	1.109980203056856185e+00
3.317420530829318981e+00	1.111189159068661336e+00
3.433121433759039665e+00	1.112852588116303165e+00
3.486971266891797594e+00	1.114705566296404937e+00
3.580884328143628892e+00	1.117042504993073893e+00
